14/10/2025 01:36:15 | INFO |    - Calendário: updating (CSV)
14/10/2025 01:36:15 | INFO |    - Notícias: updating
14/10/2025 01:36:15 | INFO | ⏳ Próxima atualização em 10 minutos
14/10/2025 01:36:15 | INFO | ═══════════════════════════════════════════════════════════════

14/10/2025 01:46:15 | INFO | ═══════════════════════════════════════════════════════════════
14/10/2025 01:46:15 | INFO | 📍 Ciclo #11 - 14/10/2025 01:46:15
14/10/2025 01:46:15 | INFO | ✅ Servidor está online
14/10/2025 01:46:15 | INFO | 📊 Status do Servidor:
14/10/2025 01:46:15 | INFO |    - Total de sinais: 0
14/10/2025 01:46:15 | INFO |    - Chamadas API hoje: 18/482 restantes
14/10/2025 01:46:15 | INFO |    - Eventos em cache: 9
14/10/2025 01:46:15 | INFO |    - Notícias em cache: 0
14/10/2025 01:46:15 | INFO |    - Sentimento: NEUTRAL
14/10/2025 01:46:15 | INFO |    - Próximo evento: Fed Chair Powell Speaks em 633 min
14/10/2025 01:46:15 | INFO | 📥 Forçando atualização...
14/10/2025 01:46:15 | INFO | ✅ Atualização iniciada:
14/10/2025 01:46:15 | INFO |    - Calendário: updating (CSV)
14/10/2025 01:46:15 | INFO |    - Notícias: updating
14/10/2025 01:46:16 | INFO | ⏳ Próxima atualização em 10 minutos
14/10/2025 01:46:16 | INFO | ═══════════════════════════════════════════════════════════════

14/10/2025 01:56:16 | INFO | ═══════════════════════════════════════════════════════════════
14/10/2025 01:56:16 | INFO | 📍 Ciclo #12 - 14/10/2025 01:56:16
14/10/2025 01:56:16 | INFO | ✅ Servidor está online
14/10/2025 01:56:16 | INFO | 📊 Status do Servidor:
14/10/2025 01:56:16 | INFO |    - Total de sinais: 0
14/10/2025 01:56:16 | INFO |    - Chamadas API hoje: 20/480 restantes
14/10/2025 01:56:16 | INFO |    - Eventos em cache: 9
14/10/2025 01:56:16 | INFO |    - Notícias em cache: 0
14/10/2025 01:56:16 | INFO |    - Sentimento: NEUTRAL
14/10/2025 01:56:16 | INFO |    - Próximo evento: Fed Chair Powell Speaks em 623 min
14/10/2025 01:56:16 | INFO | 📥 Forçando atualização...
14/10/2025 01:56:16 | INFO | ✅ Atualização iniciada:
14/10/2025 01:56:16 | INFO |    - Calendário: updating (CSV)
14/10/2025 01:56:16 | INFO |    - Notícias: updating
14/10/2025 01:56:16 | INFO | ⏳ Próxima atualização em 10 minutos
14/10/2025 01:56:16 | INFO | ═══════════════════════════════════════════════════════════════

14/10/2025 02:06:16 | INFO | ═══════════════════════════════════════════════════════════════
14/10/2025 02:06:16 | INFO | 📍 Ciclo #13 - 14/10/2025 02:06:16
14/10/2025 02:06:16 | INFO | ✅ Servidor está online
14/10/2025 02:06:16 | INFO | 📊 Status do Servidor:
14/10/2025 02:06:16 | INFO |    - Total de sinais: 0
14/10/2025 02:06:16 | INFO |    - Chamadas API hoje: 22/478 restantes
14/10/2025 02:06:16 | INFO |    - Eventos em cache: 9
14/10/2025 02:06:16 | INFO |    - Notícias em cache: 0
14/10/2025 02:06:16 | INFO |    - Sentimento: NEUTRAL
14/10/2025 02:06:16 | INFO |    - Próximo evento: Fed Chair Powell Speaks em 613 min
14/10/2025 02:06:16 | INFO | 📥 Forçando atualização...
14/10/2025 02:06:16 | INFO | ✅ Atualização iniciada:
14/10/2025 02:06:16 | INFO |    - Calendário: updating (CSV)
14/10/2025 02:06:16 | INFO |    - Notícias: updating
14/10/2025 02:06:16 | INFO | ⏳ Próxima atualização em 10 minutos
14/10/2025 02:06:16 | INFO | ═══════════════════════════════════════════════════════════════

14/10/2025 11:32:28 | INFO | 🔄 Auto News Updater iniciado
14/10/2025 11:32:28 | INFO | ⏱️  Intervalo de atualização: 10 minutos
14/10/2025 11:32:28 | INFO | 🌐 Servidor: http://127.0.0.1:5000

14/10/2025 11:32:28 | INFO | ═══════════════════════════════════════════════════════════════
14/10/2025 11:32:28 | INFO | 📍 Ciclo #1 - 14/10/2025 11:32:28
14/10/2025 11:32:31 | ERROR | ❌ Não consegui conectar ao servidor em http://127.0.0.1:5000
14/10/2025 11:32:31 | WARNING | ⚠️ Servidor offline. Aguardando próxima tentativa...
14/10/2025 11:33:35 | INFO | 
🛑 Atualizador de notícias interrompido pelo usuário.
14/10/2025 11:33:37 | INFO | 🔄 Auto News Updater iniciado
14/10/2025 11:33:37 | INFO | ⏱️  Intervalo de atualização: 10 minutos
14/10/2025 11:33:37 | INFO | 🌐 Servidor: http://127.0.0.1:5000

14/10/2025 11:33:37 | INFO | ═══════════════════════════════════════════════════════════════
14/10/2025 11:33:37 | INFO | 📍 Ciclo #1 - 14/10/2025 11:33:37
14/10/2025 11:33:37 | INFO | ✅ Servidor está online
14/10/2025 11:33:37 | INFO | 📊 Status do Servidor:
14/10/2025 11:33:37 | INFO |    - Total de sinais: 0
14/10/2025 11:33:37 | INFO |    - Chamadas API hoje: 2/498 restantes
14/10/2025 11:33:37 | INFO |    - Eventos em cache: 9
14/10/2025 11:33:37 | INFO |    - Notícias em cache: 0
14/10/2025 11:33:37 | INFO |    - Sentimento: NEUTRAL
14/10/2025 11:33:37 | INFO |    - Próximo evento: Fed Chair Powell Speaks em 46 min
14/10/2025 11:33:37 | INFO | 📥 Forçando atualização...
14/10/2025 11:33:37 | INFO | ✅ Atualização iniciada:
14/10/2025 11:33:37 | INFO |    - Calendário: updating (External API + CSV)
14/10/2025 11:33:37 | INFO |    - Notícias: updating
14/10/2025 11:33:37 | INFO | ⏳ Próxima atualização em 10 minutos
14/10/2025 11:33:37 | INFO | ═══════════════════════════════════════════════════════════════

